strategy,ADBE_weight,TSM_weight,SNPS_weight,satellite_total,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months,return_gap_points_vs_v08,drawdown_change_points_vs_v08,vol_change_points_vs_v08,qualifies_within_5pts
V08_BENCHMARK,0.0,0.0,0.0,0.0,1.1015252244182148,0.38243161291011446,2.1746219494293295,5.651948432665387,-0.1330208929571911,-0.1213577519212955,11681.836739996908,23,0.0,0.0,0.0,True
SAT_A2_T2_S2,0.02,0.02,0.02,0.06,1.0024755549252826,0.36500749765781576,2.122601394311502,5.78754783086366,-0.1276796635880374,-0.11349799280578599,11009.990588051922,23,-9.904966949293215,0.534122936915371,-1.74241152522987,False
SAT_A2_T3_S2,0.02,0.03,0.02,0.07,0.9922702992925061,0.3626853853929105,2.1193188214196943,5.732645695458582,-0.12811132379344714,-0.11390247235273465,10941.3246965889,23,-10.925492512570866,0.49095691637439653,-1.9746227517203951,False
SAT_A2_T4_S2,0.02,0.04,0.02,0.08,0.9855195843301767,0.36024241708018334,2.1216182621959914,5.698199009860667,-0.12854424742765502,-0.11349947731169341,10907.049761823508,23,-11.600564008803804,0.4476645529536083,-2.218919582993112,False
SAT_A2_T2_S3,0.02,0.02,0.03,0.07,0.9811680566803662,0.36257499416601285,2.103534187266213,5.778246718146017,-0.12789781878836404,-0.11349034784280343,10852.756751754903,23,-12.035716773784856,0.5123074168827069,-1.9856618744101606,False
SAT_A3_T2_S2,0.03,0.02,0.02,0.07,0.9800014817691163,0.3612619225662195,2.1081996187778307,5.881269366677019,-0.12733143193257557,-0.11005465826549687,10857.364522323422,23,-12.152374264909849,0.5689461024615539,-2.1169690343894985,False
SAT_A2_T5_S2,0.02,0.05,0.02,0.09000000000000001,0.9770143292472739,0.3579373845161203,2.1206300913482887,5.649288843635785,-0.12897843453050784,-0.11354562445463867,10855.40995324951,23,-12.451089517094083,0.4042458426683271,-2.4494228393994177,False
SAT_A2_T3_S3,0.02,0.03,0.03,0.08,0.9726231997538337,0.3602700438492029,2.102346947733843,5.731271171836426,-0.12833086712627417,-0.1136557866325052,10800.599881327862,23,-12.890202466438105,0.4690025830916933,-2.216156906091155,False
SAT_A3_T3_S2,0.03,0.03,0.02,0.08,0.9722160846088954,0.3586813684992259,2.109526602166246,5.841352642565239,-0.12776300612245117,-0.10977708850870493,10812.428558291256,23,-12.930913980931935,0.5257886834739933,-2.3750244410888577,False
SAT_A3_T4_S2,0.03,0.04,0.02,0.09000000000000001,0.9645242266814489,0.3565245596417992,2.1088675630374194,5.811388086524286,-0.12819584375689053,-0.10974794891300421,10768.572624269596,23,-13.700099773676587,0.48250492003005796,-2.590705326831527,False
SAT_A2_T4_S3,0.02,0.04,0.03,0.09,0.9643480611289759,0.3585589829313426,2.098520609486511,5.685984240260506,-0.12876517892924666,-0.1139432026861259,10751.178802382425,23,-13.71771632892389,0.4255714027944446,-2.3872629978771878,False
SAT_A2_T2_S4,0.02,0.02,0.04,0.08,0.961134456396203,0.36065762341316926,2.083250879171721,5.784482354484512,-0.1281174674415817,-0.11323366619348008,10710.918449222027,23,-14.039076802201178,0.49034255156094053,-2.17739894969452,False
SAT_A3_T2_S3,0.03,0.02,0.03,0.08,0.9601158670635315,0.3588684814240989,2.090463909752853,5.88175893130908,-0.12754945831401676,-0.10980362519672904,10716.130520676406,23,-14.140935735468329,0.5471434643174344,-2.356313148601558,False
SAT_A4_T2_S2,0.04,0.02,0.02,0.08,0.9588836856156746,0.3577764898394835,2.0939226150711283,5.992523539114863,-0.12698312990649152,-0.10637856539012625,10718.812505395501,23,-14.264153880254016,0.6037763050699585,-2.4655123070630944,False
SAT_A3_T5_S2,0.03,0.05,0.02,0.1,0.9562203173597854,0.354211368232398,2.1080251287351395,5.763658439959322,-0.12862994487612645,-0.1097834883138481,10718.77275293308,23,-14.530490705842936,0.43909480810646606,-2.8220244677716444,False
SAT_A2_T5_S3,0.02,0.05,0.03,0.1,0.9553869363002694,0.35630686918223875,2.0963104403162918,5.622890652416546,-0.12920075423749655,-0.11427624835117511,10695.366640781782,23,-14.613828811794537,0.38201387196945547,-2.612474372787571,False
SAT_A2_T3_S4,0.02,0.03,0.04,0.09,0.9529020687521104,0.3583973983758974,2.0820655554542,5.7375859010591475,-0.12855190395426674,-0.11340176661844048,10661.602647075368,23,-14.862315566610441,0.4468989002924362,-2.4034214534217058,False
SAT_A3_T3_S3,0.03,0.03,0.03,0.09,0.9523813024646517,0.35629573149743643,2.091613811068698,5.839733160526299,-0.12798242066563215,-0.10954442844988133,10671.827020191084,23,-14.914392195356307,0.503847229155896,-2.613588141267803,False
SAT_A4_T3_S2,0.04,0.03,0.02,0.09000000000000001,0.9497287301378687,0.3549688195382482,2.0941076663808422,5.946892130752387,-0.12741461808419452,-0.10609117145053082,10660.006955887307,23,-15.179649428034603,0.5606274872996586,-2.7462793371866248,False
SAT_A2_T4_S4,0.02,0.04,0.04,0.1,0.9444185741532161,0.35615897422158294,2.080340572817556,5.679962864722567,-0.1289876039685458,-0.11370128851647399,10609.965833509335,23,-15.710665026499871,0.40332889886453005,-2.627263868853152,False
SAT_A3_T4_S3,0.03,0.04,0.03,0.1,0.9441989243594742,0.3539315345028502,2.09102690616693,5.796065866962405,-0.1284166464983677,-0.10951599125392675,10623.15411211428,23,-15.73263000587406,0.4604246458823402,-2.850007840726426,False
SAT_A2_T2_S5,0.02,0.02,0.05,0.09,0.9425842784197089,0.35832745331035376,2.0667719299221616,5.7869946778103545,-0.1283386096224831,-0.11298414755415287,10580.847687480298,23,-15.894094599850582,0.4682283334707993,-2.4104159599760697,False
SAT_A4_T4_S2,0.04,0.04,0.02,0.1,0.9416195902912006,0.3525559166414,2.093886081683386,5.904642692120033,-0.12784736972253397,-0.10605791441530232,10611.997742221403,23,-15.99056341270142,0.517352323465714,-2.9875696268714447,False
SAT_A3_T2_S4,0.03,0.02,0.04,0.09,0.9413193004575866,0.35650675934402043,2.073725298923385,5.886189101233066,-0.12776897820156263,-0.10955375753677654,10583.916539681511,23,-16.020592396062817,0.5251914755628473,-2.5924853566094033,False
SAT_A4_T2_S3,0.04,0.02,0.03,0.09,0.9396979703996549,0.3553850620086724,2.076705582942784,5.998453435121135,-0.12720102750329088,-0.10614328841100695,10584.158897603755,23,-16.18272540185599,0.581986545390023,-2.7046550901442035,False
SAT_A3_T5_S3,0.03,0.05,0.03,0.11,0.9364482168159234,0.35181017534256587,2.0898419756540125,5.7607205067814435,-0.12885213585282673,-0.10952150227524293,10578.82014979944,23,-16.507700760229138,0.41687571043643734,-3.0621437567548595,False
SAT_A2_T5_S4,0.02,0.05,0.04,0.11000000000000001,0.9358708802623128,0.3539459263946927,2.078327986162677,5.617107553722803,-0.12942456752500642,-0.11404707740340547,10557.740214784737,23,-16.565434415590197,0.3596325432184688,-2.848568651542177,False
SAT_A5_T2_S2,0.05,0.02,0.02,0.09000000000000001,0.935482095547908,0.3540245695072907,2.0768855086131803,6.075256059889598,-0.1266347575286143,-0.10487790228568916,10559.77437870245,23,-16.60431288703068,0.63861354285768,-2.840704340282374,False
SAT_A2_T3_S5,0.02,0.03,0.05,0.1,0.9344455273128145,0.35606664876967636,2.065522134477272,5.7391099990977175,-0.12877443435242242,-0.11315301035951142,10532.48065548812,23,-16.707969710540027,0.4246458604768688,-2.6364964140438096,False
SAT_A4_T5_S2,0.04,0.05,0.02,0.11,0.933535031060424,0.35017779998418935,2.0934858226059134,5.858715060633185,-0.12828138486213547,-0.10603006153060546,10564.350575079527,23,-16.799019335779075,0.47395080950556334,-3.2253812925925107,False
SAT_A3_T3_S4,0.03,0.03,0.04,0.1,0.9329700068248996,0.35420134670167674,2.07241423016844,5.836470435726636,-0.12820332875742713,-0.10977498241828465,10533.599573154932,23,-16.855521759331516,0.48175641997639795,-2.8230266208437715,False
SAT_A4_T3_S3,0.04,0.03,0.03,0.1,0.9305602196494762,0.35257903143307306,2.076661028226536,5.951785196209826,-0.12763390387224127,-0.10585901563836786,10525.621547046761,23,-17.096500476873857,0.5386989084949834,-2.9852581477041396,False
SAT_A2_T4_S5,0.02,0.04,0.05,0.11,0.9278973752998214,0.3533293168073049,2.069080621767176,5.672115530505994,-0.12921152262075852,-0.1134970992343971,10497.416953586402,23,-17.362784911839334,0.38093703364325826,-2.9102296102809566,False
SAT_A5_T3_S2,0.05,0.03,0.02,0.1,0.9253026541856737,0.35170222506886484,2.0728076488683556,6.030375646599596,-0.12706615969777169,-0.10430598037806427,10492.417473982669,23,-17.622257023254107,0.595473325941942,-3.072938784124962,False
SAT_A3_T4_S4,0.03,0.04,0.04,0.11000000000000001,0.9250166317148929,0.3514625244344374,2.0737924234544867,5.790117338950123,-0.12863894283123722,-0.10928290097251814,10487.522842363376,23,-17.650859270332187,0.4381950125953882,-3.0969088475677085,False
SAT_A3_T2_S5,0.03,0.02,0.05,0.1,0.9238694176482591,0.3540970691894123,2.058827289097733,5.881837256568865,-0.12798999167031722,-0.10930468669937854,10463.748359605666,23,-17.76558067699556,0.503090128687389,-2.833454372070215,False
SAT_A4_T2_S4,0.04,0.02,0.04,0.1,0.9226151449265902,0.352913614185188,2.0626501648962727,5.9974763175710235,-0.12742041865976517,-0.1059118474748445,10467.213713747391,23,-17.89100794916245,0.5600474297425939,-2.951799872492644,False
SAT_A4_T4_S3,0.04,0.04,0.03,0.11,0.9224337195771888,0.35017147784196695,2.0761616896862507,5.908966031139179,-0.12806804373867897,-0.10582531034028209,10477.500695324572,23,-17.909150484102597,0.4952849218512134,-3.226013506814751,False
SAT_A2_T5_S5,0.02,0.05,0.05,0.12000000000000001,0.9194311975020613,0.35107393863931097,2.0672312981843124,5.608054278990582,-0.12964987446845078,-0.11384675730046612,10445.958488052895,23,-18.209402691615352,0.33710184887403294,-3.1357674270803493,False
SAT_A5_T4_S2,0.05,0.04,0.02,0.11,0.9190382382496067,0.34907769189346505,2.0762535936770035,6.014833265527409,-0.12749882534395174,-0.10373405930661073,10462.438259240771,23,-18.248698616860803,0.5522067613239368,-3.335392101664941,False
SAT_A5_T2_S3,0.05,0.02,0.03,0.1,0.9182922539405305,0.3515797032497273,2.0624515854426817,6.0899062556216075,-0.12685252637540945,-0.10415868428040709,10441.538801893223,23,-18.323297047768428,0.6168366581781659,-3.0851909660387147,False
SAT_A3_T5_S4,0.03,0.05,0.04,0.12,0.9177331859409281,0.34935460271791297,2.073067667614701,5.758909986495094,-0.12907582046397026,-0.10925664815560998,10447.141323871556,23,-18.379203847728665,0.3945072493220847,-3.3077010192201497,False
SAT_A3_T3_S5,0.03,0.03,0.05,0.11,0.9152158529133381,0.3515813538901708,2.057870554610995,5.842726017005782,-0.12842573047314587,-0.1090786341764648,10411.243339148186,23,-18.630937150487668,0.45951624840452343,-3.085025901994365,False
SAT_A4_T5_S3,0.04,0.05,0.03,0.12,0.9144076573155877,0.3478184676335857,2.0754982046755113,5.86258017048976,-0.1285034471436005,-0.10579845997128601,10430.457869400978,23,-18.711756710262705,0.45174458135905926,-3.461314527652876,False
SAT_A4_T3_S4,0.04,0.03,0.04,0.11000000000000001,0.9116137119076941,0.3499642445615656,2.060164479027268,5.940755084526495,-0.12785468326270777,-0.10561966151989988,10391.93452202261,23,-18.991151251052063,0.5166209694483337,-3.246736834854885,False
