strategy,ADBE_weight,TSM_weight,SNPS_weight,satellite_total,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months,return_gap_points_vs_v08,drawdown_change_points_vs_v08,vol_change_points_vs_v08,qualifies_within_5pts
SAT_A2_T2_S2,0.02,0.02,0.02,0.06,1.0024755549252826,0.36500749765781576,2.122601394311502,5.78754783086366,-0.1276796635880374,-0.11349799280578599,11009.990588051922,23,-9.904966949293215,0.534122936915371,-1.74241152522987,False
SAT_A2_T3_S2,0.02,0.03,0.02,0.07,0.9922702992925061,0.3626853853929105,2.1193188214196943,5.732645695458582,-0.12811132379344714,-0.11390247235273465,10941.3246965889,23,-10.925492512570866,0.49095691637439653,-1.9746227517203951,False
SAT_A2_T4_S2,0.02,0.04,0.02,0.08,0.9855195843301767,0.36024241708018334,2.1216182621959914,5.698199009860667,-0.12854424742765502,-0.11349947731169341,10907.049761823508,23,-11.600564008803804,0.4476645529536083,-2.218919582993112,False
SAT_A2_T2_S3,0.02,0.02,0.03,0.07,0.9811680566803662,0.36257499416601285,2.103534187266213,5.778246718146017,-0.12789781878836404,-0.11349034784280343,10852.756751754903,23,-12.035716773784856,0.5123074168827069,-1.9856618744101606,False
SAT_A3_T2_S2,0.03,0.02,0.02,0.07,0.9800014817691163,0.3612619225662195,2.1081996187778307,5.881269366677019,-0.12733143193257557,-0.11005465826549687,10857.364522323422,23,-12.152374264909849,0.5689461024615539,-2.1169690343894985,False
SAT_A2_T5_S2,0.02,0.05,0.02,0.09000000000000001,0.9770143292472739,0.3579373845161203,2.1206300913482887,5.649288843635785,-0.12897843453050784,-0.11354562445463867,10855.40995324951,23,-12.451089517094083,0.4042458426683271,-2.4494228393994177,False
SAT_A2_T3_S3,0.02,0.03,0.03,0.08,0.9726231997538337,0.3602700438492029,2.102346947733843,5.731271171836426,-0.12833086712627417,-0.1136557866325052,10800.599881327862,23,-12.890202466438105,0.4690025830916933,-2.216156906091155,False
SAT_A3_T3_S2,0.03,0.03,0.02,0.08,0.9722160846088954,0.3586813684992259,2.109526602166246,5.841352642565239,-0.12776300612245117,-0.10977708850870493,10812.428558291256,23,-12.930913980931935,0.5257886834739933,-2.3750244410888577,False
SAT_A3_T4_S2,0.03,0.04,0.02,0.09000000000000001,0.9645242266814489,0.3565245596417992,2.1088675630374194,5.811388086524286,-0.12819584375689053,-0.10974794891300421,10768.572624269596,23,-13.700099773676587,0.48250492003005796,-2.590705326831527,False
SAT_A2_T4_S3,0.02,0.04,0.03,0.09,0.9643480611289759,0.3585589829313426,2.098520609486511,5.685984240260506,-0.12876517892924666,-0.1139432026861259,10751.178802382425,23,-13.71771632892389,0.4255714027944446,-2.3872629978771878,False
SAT_A2_T2_S4,0.02,0.02,0.04,0.08,0.961134456396203,0.36065762341316926,2.083250879171721,5.784482354484512,-0.1281174674415817,-0.11323366619348008,10710.918449222027,23,-14.039076802201178,0.49034255156094053,-2.17739894969452,False
SAT_A3_T2_S3,0.03,0.02,0.03,0.08,0.9601158670635315,0.3588684814240989,2.090463909752853,5.88175893130908,-0.12754945831401676,-0.10980362519672904,10716.130520676406,23,-14.140935735468329,0.5471434643174344,-2.356313148601558,False
